record_id,formula_version,cpp_cgp_nm,cell_height_nm,break_extra_cpp,sram_bitcell_um2,logic_density_calculated_mtr_mm2,sram_ideal_mb_mm2,sram_density_compare_mb_mm2,sram_density_compare_basis,calculation_inputs,assumption_note,is_estimated,review_required,review_reason,created_at,updated_at
tsmc_n28_28hpm_hpc_generic_logic_001,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,117,,0,0.127,,7.874,,,"{""cpp_cgp_nm"": 117.0, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.127, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,True,True,missing_cpp_ch_and_reported_density;sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
tsmc_n16_12_16ff_16ffc_12ffc_generic_hd_002,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,90,,0,0.074,,13.5135,,,"{""cpp_cgp_nm"": 90.0, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.074, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,True,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
tsmc_n7_n7_hd_6t_2_fin_h240g57_003,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,57,240,1,0.027,90.6433,37.037,,,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": 240.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.027, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,True,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
tsmc_n7_n7_hp_3_fin_h300g64_004,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,64,300,1,0.027,64.5833,37.037,,,"{""cpp_cgp_nm"": 64.0, ""cell_height_nm"": 300.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.027, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
tsmc_n7p_n7p_hd_assumed_n7_compatible_hd_geometry_005,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,57,240,1,0.027,90.6433,37.037,,,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": 240.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.027, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,True,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
tsmc_n7_n7_euv_hd_like_public_relative_only_006,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
tsmc_n6_n6_hd_n7_compatible_smaller_standard_cell_library_cpode_style_007,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,57,240,0,,107.7255,,,,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": 240.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB/CPODE approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. No SRAM bitcell or comparable macro/array density found.,False,False,,2026-05-29,2026-05-29
tsmc_n5_n5_hd_6t_h210g51_008,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,51,210,0,0.021,137.5989,47.619,31.8,reported/compiled macro-equivalent SRAM density used for comparison; bitcell ideal kept only in derived_metrics,"{""cpp_cgp_nm"": 51.0, ""cell_height_nm"": 210.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021, ""sram_density_compare_mb_mm2"": 31.8, ""diffusion_break_model"": ""SDB/CNOD""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",False,False,,2026-05-29,2026-05-29
tsmc_n5_n5_hp_h280g57_3_fin_class_009,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,57,280,0,0.025,92.3361,40,26.7,reported/compiled HP/HC SRAM density; not bitcell ideal,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": 280.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.025, ""sram_density_compare_mb_mm2"": 26.7, ""diffusion_break_model"": ""SDB/CNOD""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",True,True,low_sram_compare_confidence,2026-05-29,2026-05-29
tsmc_n5p_n5p_hd_n5_compatible_process_optimization_010,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,51,210,0,0.021,137.5989,47.619,31.8,reported/compiled macro-equivalent SRAM density used for comparison; bitcell ideal kept only in derived_metrics,"{""cpp_cgp_nm"": 51.0, ""cell_height_nm"": 210.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021, ""sram_density_compare_mb_mm2"": 31.8, ""diffusion_break_model"": ""SDB/CNOD""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",False,False,,2026-05-29,2026-05-29
