check_id,record_id,severity,category,message,source_ids,created_at
q_0001,tsmc_n28_28hpm_hpc_generic_logic_001,review,review_required,missing_cpp_ch_and_reported_density;sram_bitcell_only_no_real_macro_density,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0002,tsmc_n28_28hpm_hpc_generic_logic_001,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0003,tsmc_n16_12_16ff_16ffc_12ffc_generic_hd_002,review,review_required,sram_bitcell_only_no_real_macro_density,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0004,tsmc_n16_12_16ff_16ffc_12ffc_generic_hd_002,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0005,tsmc_n7_n7_hd_6t_2_fin_h240g57_003,review,review_required,sram_bitcell_only_no_real_macro_density,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0006,tsmc_n7_n7_hd_6t_2_fin_h240g57_003,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0007,tsmc_n7_n7_hp_3_fin_h300g64_004,review,review_required,sram_bitcell_only_no_real_macro_density,src_angstronomics_tsmc_5nm_2022;src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0008,tsmc_n7_n7_hp_3_fin_h300g64_004,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0009,tsmc_n7p_n7p_hd_assumed_n7_compatible_hd_geometry_005,review,review_required,sram_bitcell_only_no_real_macro_density,src_tsmc_official_n7_n6;src_angstronomics_tsmc_5nm_2022;src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0010,tsmc_n7p_n7p_hd_assumed_n7_compatible_hd_geometry_005,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0011,tsmc_n7_n7_euv_hd_like_public_relative_only_006,review,review_required,missing_cpp_ch_and_reported_density,src_tsmc_official_n7_n6;src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0012,tsmc_n5_n5_hd_6t_h210g51_008,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0013,tsmc_n5_n5_hp_h280g57_3_fin_class_009,review,review_required,low_sram_compare_confidence,src_angstronomics_tsmc_5nm_2022;src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0014,tsmc_n5_n5_hp_h280g57_3_fin_class_009,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0015,tsmc_n5p_n5p_hd_n5_compatible_process_optimization_010,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0016,tsmc_n4_n4_hd_h206g49_011,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0017,tsmc_n4_n4_hp_h274g55_012,review,review_required,low_sram_compare_confidence,src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0018,tsmc_n4_n4_hp_h274g55_012,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0019,tsmc_n4p_n4p_hd_assumed_n4_compatible_hd_geometry_013,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0020,tsmc_n4x_n4x_hpc_hpc_beol_stack_optimized_library_not_public_014,review,review_required,missing_cpp_ch_and_reported_density,src_semianalysis_tsmc_n3_2022,2026-05-29
q_0021,tsmc_n4c_n4c_cost_optimized_cost_optimized_public_library_not_found_015,review,review_required,missing_cpp_ch_and_reported_density,src_tsmc_official_n7_n6;src_tomshardware_tsmc_n4c_2024;src_semianalysis_tsmc_n3_2022,2026-05-29
q_0022,tsmc_n3b_n3b_hd_initial_n3_hd_finfet_016,review,review_required,missing_cpp_ch_and_reported_density,src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0023,tsmc_n3b_n3b_hd_initial_n3_hd_finfet_016,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0024,tsmc_n3e_n3e_2_1_finflex_5_5t_ulp_uhd_48nm_poly_017,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0025,tsmc_n3e_n3e_2_2_finflex_6_5t_hp_uhd_48nm_poly_option_018,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0026,tsmc_n3e_n3e_3_2_finflex_7_5t_uhp_hd_54nm_poly_019,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0027,tsmc_n3p_n3p_finfet_ppa_optimized_library_not_public_020,review,review_required,sram_bitcell_only_no_real_macro_density,src_tsmc_finflex_2022;src_semianalysis_tsmc_n3_2022;src_tsmc_official_symposium_2023_n3p_n2;src_tomshardware_tsmc_n3p_2025,2026-05-29
q_0028,tsmc_n3p_n3p_finfet_ppa_optimized_library_not_public_020,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_semianalysis_tsmc_n3_2022,2026-05-29
q_0029,tsmc_n2p_n2p_nanosheet_extension_standard_cell_geometry_not_public_023,review,review_required,missing_cpp_ch_and_reported_density,src_tsmc_official_n2;src_tsmc_official_symposium_2023_n3p_n2,2026-05-29
q_0030,tsmc_a16_a16_nanosheet_super_power_rail_geometry_not_public_024,review,review_required,missing_cpp_ch_and_reported_density,src_tsmc_official_a16,2026-05-29
q_0031,intel_foundry_intel_14nm_14nm_14nm_7_67t_dense_logic_025,review,review_required,sram_bitcell_only_no_real_macro_density,src_semiwiki_intel_14_10_2016,2026-05-29
q_0032,intel_foundry_intel_14nm_14nm_14nm_7_67t_dense_logic_025,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_semiwiki_intel_14_10_2016,2026-05-29
q_0033,intel_foundry_intel_10nm_intel_10nm_hd_h272g54_class_026,review,review_required,sram_bitcell_only_no_real_macro_density,src_semiwiki_intel4_vlsi2022;src_semiwiki_intel_14_10_2016,2026-05-29
q_0034,intel_foundry_intel_10nm_intel_10nm_hd_h272g54_class_026,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_semiwiki_intel4_vlsi2022,2026-05-29
q_0035,intel_foundry_intel_4_intel_4_hp_h240g50_029,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0036,intel_foundry_intel_3_intel_3_hp_h240g50_030,review,review_required,low_sram_compare_confidence,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025;src_tomshardware_tsmc_n2_intel18a_sram_2024;src_semiwiki_intel4_vlsi2022,2026-05-29
q_0037,intel_foundry_intel_3_intel_3_hp_h240g50_030,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0038,intel_foundry_intel_3_intel_3_hd_h210g50_031,review,review_required,low_sram_compare_confidence,src_tomshardware_intel_18a_vlsi2025;src_tomshardware_tsmc_n2_intel18a_sram_2024;src_semiwiki_intel4_vlsi2022,2026-05-29
