source_id,source_url,source_title,source_publisher,source_date,accessed_date,source_level,trust_rank_1_5,license_or_terms,source_quote_or_note
src_angstronomics_tsmc_5nm_2022,https://www.angstronomics.com/p/the-truth-of-tsmc-5nm,The Truth of TSMC 5nm,Angstronomics,2022-09,2026-05-21,media/teardown-analysis,4,Public web source; cite URL; do not reproduce large excerpts.,Explains H240g57/H210g51 notation and Bohr-style standard-cell logic density calculation.
src_design_reuse_51599b56,https://www.design-reuse.com/ip/view/FI_4674/umc-28nm-hpc-rvt-logic-and-mixed-mode-process-9-track-generic-core-cell-library-enhanced-for-routing-c40-/,UMC 28nm HPC RVT 9-track Generic Core Cell Library IP,Design & Reuse,accessed 2026,2026-05-21,third-party IP/aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Third-party IP page for UMC 28nm 9-track generic cell library; detailed datasheet is gated.
src_designreuse_umc_ip_search,https://www.design-reuse.com/ip/search?foundry=&geometry=&keywords=Sital+Technology+Ltd.&p=88&vendor=,D&R UMC standard-cell IP search results,Design & Reuse,accessed 2026,2026-05-21,third-party IP/aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,"Lists UMC 28nm 7-track, 9-track, 12-track library products; full datasheets gated."
src_dolphin_tsmc_n3e_cells,https://dolphin-ic.com/products/standard-cell/tsmc_3e_cell.html,TSMC 3E Standard Cell,Dolphin Design,accessed 2026,2026-05-21,third-party IP,3,Public web source; cite URL; do not reproduce large excerpts.,Third-party standard-cell IP page listing N3E 5.5T / 6.5T / 7.5T library options.
src_en_192e97c7,https://en.wikipedia.org/wiki/5_nm_process,5 nm process,Wikipedia,accessed 2026,2026-05-21,aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Aggregator cross-check only; not used as a primary geometry source.
src_en_205a336a,https://en.wikipedia.org/wiki/4_nm_process,4 nm process,Wikipedia,accessed 2026,2026-05-21,aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Aggregator cross-check only; not used as a primary geometry source.
src_en_730c50c6,https://en.wikipedia.org/wiki/7_nm_process,7 nm process,Wikipedia,accessed 2026,2026-05-21,aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Aggregator cross-check only; not used as a primary geometry source.
src_en_a64bcb25,https://en.wikipedia.org/wiki/GlobalFoundries,GlobalFoundries,Wikipedia,accessed 2026,2026-05-21,aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Background/cross-check only.
src_faraday_designreuse_umc28_2012,https://www.design-reuse.com/news/202525174-faraday-delivers-a-complete-set-of-umc-28nm-cell-libraries-and-memory-compilers/,Faraday Delivers UMC 28nm Cell Libraries,Design & Reuse / Faraday,2012,2026-05-21,third-party IP/media,3,Public web source; cite URL; do not reproduce large excerpts.,"UMC 28nm Faraday 7-track, 9-track and 12-track standard-cell library classes; no public CPP/CH."
src_gf_1de18a3f,https://gf.com/resource/wearable-display-driver-using-5528hv-and-22fdx-1/,Wearable display driver using 55/28HV and 22FDX,GlobalFoundries,official resource,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,GF resource used as context for 22FDX/55-28HV display-driver platform; not a primary CGP/CH source.
src_gf_313df65e,https://gf.com/blog/driving-automotive-innovation-on-the-semiconductor-superhighway/,Driving Automotive Innovation on the Semiconductor Superhighway,GlobalFoundries,official blog,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,GF automotive blog context for AutoPro/12LP+ platform; exact standard-cell CH not disclosed.
src_gf_official_12lp_2018,https://gf.com/blog/gfs-12lp-process-behind-covers/,GF’s 12LP Process: Behind the Covers,GlobalFoundries,2018,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,"Official 12LP article: same patterning as 14LPP, 64nm M2, supports 7.5T and 9T libraries; 7.5T gives logic area scaling."
src_golem_smic_n3_2025,https://www.golem.de/news/kirin-9030-huaweis-neuer-prozessor-hat-einen-chip-mit-5-nm-klasse-2512-201741.html,Kirin 9030 / SMIC N+3 geometry summary,Golem.de,2025-12,2026-05-21,media quoting teardown,2,Public web source; cite URL; do not reproduce large excerpts.,"Secondary article quoting TechInsights-style SMIC N+2/N+3 CPP, M0/M2, cell height and density values."
src_ims_45beb8a7,https://www.ims.uni-hannover.de/fileadmin/ims/aktivitaeten/Tensilica_Day/2018/6_slides_globalfoundries_teepe_td18.pdf,GlobalFoundries / Tensilica Day 2018 FDX slide deck,GlobalFoundries via Leibniz Universität Hannover,2018,2026-05-21,conference/deck,2,Public web source; cite URL; do not reproduce large excerpts.,Public slide deck used as a secondary source for GF 22FDX reference-flow/library context.
src_intel_official_foundry_process,https://www.intel.com/content/www/us/en/foundry/process.html,Intel Foundry Process Technology,Intel Foundry,official web page,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,"Official 18A/RibbonFET/PowerVia, PPA and packaging compatibility statements."
src_kurnal_b1cde8c1,https://www.kurnal.com/semiconductor-node-comparison-calculator,Semiconductor Node Comparison Calculator,Kurnal,accessed 2026,2026-05-21,calculator/aggregator,1,Public web source; cite URL; do not reproduce large excerpts.,Calculator/source cross-check only; not preferred over primary/teardown source.
src_manual_unknown_prior_v03,,Prior v0.3 manual note,internal,2026-05-21,2026-05-21,assumption,1,internal note,Created to avoid missing source_id; review required.
src_news_c4a2d7c0,https://news.samsungsemiconductor.com/global/samsung-begins-chip-production-using-3nm-process-technology-with-gaa-architecture/,Samsung Begins Chip Production Using 3nm Process Technology With GAA Architecture,Samsung Newsroom,2022-06-30,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,Official Samsung announcement of 3nm GAA/MBCFET production and relative PPA claims.
