record_id,formula_version,cpp_cgp_nm,cell_height_nm,break_extra_cpp,sram_bitcell_um2,logic_density_calculated_mtr_mm2,sram_ideal_mb_mm2,calculation_inputs,assumption_note,is_estimated,review_required,review_reason,created_at,updated_at
tsmc_n28_28hpm_hpc_generic_logic_001,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,117,,0,0.127,,7.874,"{""cpp_cgp_nm"": 117.0, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.127}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
tsmc_n16_12_16ff_16ffc_12ffc_generic_hd_002,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,90,,0,0.074,,13.5135,"{""cpp_cgp_nm"": 90.0, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.074}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
tsmc_n7_n7_hd_6t_2_fin_h240g57_003,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,57,240,1,0.027,90.6433,37.037,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": 240.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.027}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
tsmc_n7_n7_hp_3_fin_h300g64_004,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,64,300,1,0.027,64.5833,37.037,"{""cpp_cgp_nm"": 64.0, ""cell_height_nm"": 300.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.027}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
tsmc_n7p_n7p_hd_assumed_n7_compatible_hd_geometry_005,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,57,240,1,0.027,90.6433,37.037,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": 240.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.027}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
tsmc_n7_n7_euv_hd_like_public_relative_only_006,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
tsmc_n6_n6_hd_n7_compatible_smaller_standard_cell_library_cpode_style_007,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,57,240,0,,107.7255,,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": 240.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP.,True,False,,2026-05-21,2026-05-21
tsmc_n5_n5_hd_6t_h210g51_008,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,51,210,0,0.021,137.5989,47.619,"{""cpp_cgp_nm"": 51.0, ""cell_height_nm"": 210.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
tsmc_n5_n5_hp_h280g57_3_fin_class_009,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,57,280,0,0.025,92.3361,40,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": 280.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.025}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
tsmc_n5p_n5p_hd_n5_compatible_process_optimization_010,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,51,210,0,0.021,137.5989,47.619,"{""cpp_cgp_nm"": 51.0, ""cell_height_nm"": 210.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
tsmc_n4_n4_hd_h206g49_011,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,49,206,0,0.021,145.9961,47.619,"{""cpp_cgp_nm"": 49.0, ""cell_height_nm"": 206.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
tsmc_n4_n4_hp_h274g55_012,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,55,274,0,0.025,97.7893,40,"{""cpp_cgp_nm"": 55.0, ""cell_height_nm"": 274.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.025}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
tsmc_n4p_n4p_hd_assumed_n4_compatible_hd_geometry_013,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,49,206,0,0.021,145.9961,47.619,"{""cpp_cgp_nm"": 49.0, ""cell_height_nm"": 206.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
tsmc_n4x_n4x_hpc_hpc_beol_stack_optimized_library_not_public_014,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
tsmc_n4c_n4c_cost_optimized_cost_optimized_public_library_not_found_015,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
tsmc_n3b_n3b_hd_initial_n3_hd_finfet_016,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,45,,0,0.0199,,50.2513,"{""cpp_cgp_nm"": 45.0, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0199}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
tsmc_n3e_n3e_2_1_finflex_5_5t_ulp_uhd_48nm_poly_017,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,48,143,0,0.021,214.6976,47.619,"{""cpp_cgp_nm"": 48.0, ""cell_height_nm"": 143.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
tsmc_n3e_n3e_2_2_finflex_6_5t_hp_uhd_48nm_poly_option_018,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,48,169,0,0.021,181.6672,47.619,"{""cpp_cgp_nm"": 48.0, ""cell_height_nm"": 169.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
tsmc_n3e_n3e_3_2_finflex_7_5t_uhp_hd_54nm_poly_019,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,54,221,0,0.021,123.4862,47.619,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 221.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
tsmc_n3p_n3p_finfet_ppa_optimized_library_not_public_020,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,0.021,,47.619,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
tsmc_n3x_n3x_hpc_x_public_library_not_found_021,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
tsmc_n2_n2_1st_gen_nanosheet_standard_cell_geometry_not_public_022,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,0.021,,47.619,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
tsmc_n2p_n2p_nanosheet_extension_standard_cell_geometry_not_public_023,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
